Book,Author,Date,Language,Genre,Read
¿Hay filosofía en tu nevera?,Enric F. Gel,2023,Spanish,Philosophy,2024
" I, Robot",Isaac Asimov,1967,English,Science Ficton,2024
The Three-Body Problem,Cixin Liu,2014,English,Science Ficton,2024
Vida y muerte del cartel de Medellín,Carlos Lehder ,2024,Spanish,Biography,2024
Nuclear War: A Scenario,Annie Jacobsen,2024,English,Non-fiction,2024
Hacia las estrellas,Alejandro Riveiro,2019,Spanish,Science,2024
