tool_name,tag,description,repository,paper
QIIME2,Pipeline,"It is a powerful, extensible, and decentralized microbiome analysis package with a focus on data and analysis transparency. QIIME 2 enables researchers to start an analysis with raw DNA sequence data and finish with publication-quality figures and statistical results.","<a href=""https://github.com/qiime2/qiime2"">GitHub</a>","<a href=""https://www.nature.com/articles/s41587-019-0209-9"">Nature biotechnology</a>"
Mothur,Pipeline,"This project seeks to develop a single piece of open-source, expandable software to fill the bioinformatics needs of the microbial ecology community.","<a href=""https://github.com/mothur/mothur"">GitHub</a>","<a href=""https://journals.asm.org/doi/10.1128/aem.01541-09"">Applied and Environmental Microbiology</a>"
Cutadapt,Quality control,"It finds and removes adapter sequences, primers, poly-A tails and other types of unwanted sequence from your high-throughput sequencing reads.","<a href=""https://github.com/marcelm/cutadapt/"">GitHub</a>","<a href=""https://journal.embnet.org/index.php/embnetjournal/article/view/200"">EMBnet journal</a>"
Phyloseq,Pipeline,"The package is a tool to import, store, analyze, and graphically display complex phylogenetic sequencing data that has already been clustered into Operational Taxonomic Units (OTUs), especially when there is associated sample data, phylogenetic tree, and/or taxonomic assignment of the OTUs.","<a href=""https://github.com/joey711/phyloseq"">GitHub</a>","<a href=""https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0061217"">PLOS One</a>"
Usearch,Clustering,"Usearch implements several popular biological sequence search and clustering algorithms, including USEARCH, UCLUST, UPARSE, UCHIME, UNOISE and SINTAX.","<a href=""https://github.com/rcedgar/usearch12"">GitHub</a>","<a href=""https://academic.oup.com/bioinformatics/article/26/19/2460/230188?login=true"">Bioinformatics</a>"
Dada2,Pipeline,Modeling and correcting Illumina-sequenced amplicon errors. Resolves real variants differing by as little as one nucleotide.,"<a href=""https://github.com/benjjneb/dada2"">GitHub</a>","<a href=""https://www.nature.com/articles/nmeth.3869"">Nature methods</a>"
SILVA,Database,"SILVA provides comprehensive, quality checked and regularly updated datasets of aligned small (16S/18S, SSU) and large subunit (23S/28S, LSU) ribosomal RNA (rRNA) sequences for all three domains of life(Bacteria, Archaea and Eukarya).","<a href=""https://www.arb-silva.de"">Website</a>","<a href=""https://academic.oup.com/nar/article/54/D1/D334/8326456"">Nucleic Acids Research</a>"
Greengenes2,Database,"Greengenes2, a reference tree that unifies genomic and 16S rRNA databases in a consistent, integrated resource.","<a href=""https://greengenes2.ucsd.edu"">Website</a>","<a href=""https://www.nature.com/articles/s41587-023-01845-1"">Nature</a>"
