tool_name,tag,description,repository,paper
Fly,Assembly,"It is a de novo assembler for single-molecule sequencing reads, such as those produced by PacBio and Oxford Nanopore Technologies. It is designed for a wide range of datasets, from small bacterial projects to large mammalian-scale assemblies.","<a href=""https://github.com/mikolmogorov/Flye"">GitHub</a>","<a href=""https://www.nature.com/articles/s41587-019-0072-8"">Nature biotechnology</a>"
Medaka,Assembly,"It is a tool to create consensus sequences and variant calls from nanopore sequencing data. This task is performed using neural networks applied a pileup of individual sequencing reads against a reference sequence, mostly commonly either a draft assembly or a database reference sequence.","<a href=""https://github.com/nanoporetech/medaka"">GitHub</a>",
BakKta,Gene annotation,It is a tool for the rapid & standardized annotation of bacterial genomes and plasmids from both isolates and MAGs,"<a href=""https://github.com/oschwengers/bakta"">GitHub</a>","<a href=""https://www.microbiologyresearch.org/content/journal/mgen/10.1099/mgen.0.000685"">Microbial Genomics</a>"
Spades,Assembly,"It is a versatile toolkit designed for assembly and analysis of sequencing data. SPAdes is primarily developed for Illumina sequencing data, but can be used for IonTorrent as well.","<a href=""https://github.com/ablab/spades"">GitHub</a>","<a href=""https://currentprotocols.onlinelibrary.wiley.com/doi/full/10.1002/cpbi.102"">Current Protocols</a>"
Polypolish,Polishing,"It is a tool for polishing genome assemblies with short reads. Unlike other polishers, Polypolish uses SAM files where each read has been aligned to all possible locations (not just a single best location).","<a href=""https://github.com/rrwick/Polypolish"">GitHub</a>","<a href=""https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1009802"">PLOS Computational Biology</a>"
Trycycler,Assembly,"It is a tool for generating consensus long-read assemblies for bacterial genomes. I.e. if you have multiple long-read assemblies for the same isolate, Trycycler can combine them into a single assembly that is better than any of your inputs.","<a href=""https://github.com/rrwick/Trycycler"">GitHub</a>","<a href=""https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02483-z"">Genome Biology</a>"
Bandage,Assembly,"It is a GUI program that allows users to interact with the assembly graphs made by de novo assemblers such as Velvet, SPAdes, MEGAHIT and others.","<a href=""https://github.com/rrwick/Bandage"">GitHub</a>","<a href=""https://academic.oup.com/bioinformatics/article/31/20/3350/196114"">Bioinformatics</a>"
FastANI,Genome comparison ,It is developed for fast alignment-free computation of whole-genome Average Nucleotide Identity (ANI). ANI is defined as mean nucleotide identity of orthologous gene pairs shared between two microbial genomes.,"<a href=""https://github.com/ParBLiSS/FastANI"">GitHub</a>","<a href=""https://www.nature.com/articles/s41467-018-07641-9"">Nature comunications</a>"
Roary,Pangenome,It takes annotated assemblies in GFF3 format and calculates the pan genome.,"<a href=""https://github.com/sanger-pathogens/Roary"">GitHub</a>","<a href=""https://academic.oup.com/bioinformatics/article/31/22/3691/240757"">Bioinformatics</a>"
